session_id,recipe_id,recipe_name,user_id,user_name,test
60129ba3-e47d-412c-a52c-afdede0bda93,Oj3K8k0fnAdubawHx3ZG,Red Sauce Pasta,any,React Office,test
218565ce-c645-404c-8775-95ffa2ca6120,AJIVB8lfcE7itl0aoA0n,Zesty Crunch Quinoa,wG8Vo3TlA5GaPPuz8Zx3,Abhishek,test
bea71390-561b-4122-8353-567b77484001,emQwTzjWOUPuMLU484dJ,Masala Oats,default_user,React Office,test
08f93b87-c991-4a82-be75-0fe4ffbcdd2b,Kj0Xb0mRZCjgUGSzON7J,Coconut and Spinach Stew,higuJo5bezTWdtp0qHJF,Garima,test
4a839e63-84a8-4d4f-b589-a375025aea61,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,any,React Office,test
f825ab35-a841-419b-bc03-c3f24d0bfa0f,3GPGIgzCUhFzMFxvBIy8,Amaranth Coconut Soup ,any,React Office,test
319bc70c-9216-408a-98dc-851bd7f7c797,EB0eLvfzyVVcwYFfhynf,Aloo Capsicum,default_user,React Office,test
fb06241c-dd1f-46d2-9164-c5747cc77baf,F0yci9B64KWbDqefoyUM,Masala Mushroom,any,React Office,test
3074f777-1082-442f-93c6-81b2cd1130ae,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,default_user,React Office,test
1f638fbb-4a28-4f0f-af90-fac08f121233,akIEPODWTJ58mxB1aosX,Cambodian Braised Pork Stew,w5kxVQaStO95bPRYzmVU,Puneet,test
2c4999d9-da88-4190-8ffc-ceb0c9c231c3,t3XL1Sh78l2YRaQDQCjW,Aloo Matar,default_user,React Office,test
b519f767-1e41-42d6-ab7a-90af205adff7,pgsUxpXnwQB62Wwy6MX4,Corn Chaat,any,React Office,test
e17f9e6b-8669-4caf-a62c-3da7fed6715e,oqAfLQMJ8z8hk9uikOlX,Cleaning  ,any,React Office,test
34c5ca56-094c-49b9-807f-9648a6f87761,whhOCNXPJBgSFvXxRNin,Paneer Biryani,any,React Office,test
